"pod__timereceive","pod__coordinate","custom_field__cod"
2026-01-03 15:14:13.000,"-6.9420467,107.6842983",NONCOD
2026-01-03 12:58:13.000,"-6.9241802,107.6861556",NONCOD
2026-01-03 12:58:13.000,"-6.9241802,107.6861556",NONCOD
2026-01-03 14:26:41.000,"-6.9642867,107.6955883",NONCOD
2026-01-03 13:28:49.000,"-6.9173112,107.7189586",NONCOD
2026-01-06 13:29:52.000,"-6.962345,107.6914933",NONCOD
2026-01-06 14:09:05.000,"-6.9024799,107.702877",NONCOD
2026-01-06 13:43:43.000,"-6.9386827,107.6832658",NONCOD
2026-01-06 13:48:38.000,"-6.9405223,107.6821443",NONCOD
2026-01-06 14:25:04.000,"-6.9284964,107.6832582",NONCOD
2026-01-06 14:20:57.000,"-6.9012443,107.6919191",NONCOD
2026-01-06 13:08:14.000,"-6.9212103,107.6677803",NONCOD
2026-01-07 12:45:25.000,"-6.9059891,107.6924724",NONCOD
2026-01-07 14:06:08.000,"-6.9183975,107.7201045",NONCOD
2026-01-07 15:00:59.000,"-6.9547819,107.6989345",NONCOD
2026-01-07 12:35:43.000,"-6.9486667,107.6849033",NONCOD
2026-01-07 14:32:55.000,"-6.9143121,107.6843512",NONCOD
2026-01-07 15:15:28.000,"-6.9221722,107.6752607",NONCOD
2026-01-07 13:37:46.000,"-6.919229,107.7164",NONCOD
2026-01-07 12:38:32.000,"-6.9433357,107.6509063",NONCOD
2026-01-07 12:41:16.000,"-6.9217223,107.7095822",NONCOD
2026-01-07 12:41:16.000,"-6.9217223,107.7095822",NONCOD
2026-01-07 14:10:13.000,"-6.9218641,107.7097117",NONCOD
2026-01-07 14:08:32.000,"-6.921864,107.7096506",NONCOD
2026-01-07 14:12:21.000,"-6.9218465,107.7097187",NONCOD
2026-01-01 12:13:28.000,"-6.9176505,107.7066745",NONCOD
2026-01-03 12:58:13.000,"-6.9241802,107.6861556",NONCOD
2026-01-03 13:27:43.000,"-6.9182779,107.7173926",NONCOD
2026-01-03 15:15:17.000,"-6.9422646,107.6840477",NONCOD
2026-01-06 14:53:07.000,"-6.9169849,107.6738715",NONCOD
2026-01-06 15:25:34.000,"-6.9072201,107.6859029",NONCOD
2026-01-06 15:00:35.000,"-6.9181221,107.6889011",NONCOD
2026-01-06 14:55:40.000,"-6.942525,107.68497",NONCOD
2026-01-06 15:20:40.000,"-6.9153529,107.7095332",NONCOD
2026-01-06 13:32:14.000,"-6.9347997,107.7197655",NONCOD
2026-01-07 14:24:30.000,"-6.9330299,107.6751908",NONCOD
2026-01-07 13:44:26.000,"-6.9064087,107.7031881",NONCOD
2026-01-07 13:11:32.000,"-6.9118495,107.6801945",NONCOD
2026-01-07 12:45:25.000,"-6.9059891,107.6924724",NONCOD
2026-01-07 13:28:48.000,"-6.9351879,107.7264266",NONCOD
2026-01-07 12:46:44.000,"-6.9052138,107.6929529",NONCOD
2026-01-07 14:26:13.000,"-6.9460108,107.6806819",NONCOD
2026-01-07 13:45:34.000,"-6.9297031,107.6688602",NONCOD
2026-01-07 12:41:16.000,"-6.9217223,107.7095822",NONCOD
2026-01-07 14:12:21.000,"-6.9218465,107.7097187",NONCOD
2026-01-08 11:58:00.000,"-6.9294655,107.6790104",NONCOD
2026-01-03 12:45:51.000,"-6.9277438,107.6791179",NONCOD
2026-01-03 14:06:48.000,"-6.9097527,107.7231482",NONCOD
2026-01-06 15:21:13.000,"-6.9535562,107.7101213",NONCOD
2026-01-06 15:29:00.000,"-6.9072201,107.6859029",NONCOD
2026-01-06 13:49:38.000,"-6.9183982,107.7181353",NONCOD
2026-01-06 13:29:52.000,"-6.962345,107.6914933",NONCOD
2026-01-06 15:28:42.000,"-6.9572585,107.7091985",NONCOD
2026-01-06 14:57:05.000,"-6.9168769,107.6737688",NONCOD
2026-01-06 13:09:16.000,"-6.9305106,107.6669003",NONCOD
2026-01-06 13:17:57.000,"-6.93418,107.7119499",NONCOD
2026-01-06 13:25:08.000,"-6.8956712,107.7094344",NONCOD
2026-01-07 13:15:35.000,"-6.9118495,107.6801945",NONCOD
2026-01-07 12:28:07.000,"-6.9369202,107.6972471",NONCOD
2026-01-07 12:17:15.000,"-6.8991346,107.7040499",NONCOD
2026-01-07 14:20:34.000,"-6.9468139,107.6823817",NONCOD
2026-01-07 13:36:49.000,"-6.919229,107.7164",NONCOD
2026-01-07 12:38:32.000,"-6.9433357,107.6509063",NONCOD
2026-01-07 12:41:16.000,"-6.9217223,107.7095822",NONCOD
2026-01-07 12:41:16.000,"-6.9217223,107.7095822",NONCOD
2026-01-07 14:08:32.000,"-6.921864,107.7096506",NONCOD
2026-01-07 14:08:32.000,"-6.921864,107.7096506",NONCOD
2026-01-07 14:13:20.000,"-6.9218444,107.709628",NONCOD
2026-01-07 14:13:20.000,"-6.9218444,107.709628",NONCOD
2026-01-03 12:55:43.000,"-6.925341,107.7203687",NONCOD
2026-01-03 12:34:23.000,"-6.9348343,107.6721792",NONCOD
2026-01-03 14:25:55.000,"-6.9642167,107.6957767",NONCOD
2026-01-03 14:26:41.000,"-6.9642867,107.6955883",NONCOD
2026-01-03 12:40:26.000,"-6.9378557,107.6788726",NONCOD
2026-01-03 15:08:14.000,"-6.9044673,107.6714802",NONCOD
2026-01-03 14:26:50.000,"-6.8992357,107.7232535",NONCOD
2026-01-03 13:28:49.000,"-6.9173112,107.7189586",NONCOD
2026-01-06 13:54:47.000,"-6.9619833,107.7022283",NONCOD
2026-01-06 14:18:35.000,"-6.9242268,107.7454011",NONCOD
2026-01-06 13:37:05.000,"-6.934828,107.7190253",NONCOD
2026-01-06 14:09:56.000,"-6.9258418,107.6811713",NONCOD
2026-01-06 14:09:56.000,"-6.9258418,107.6811713",NONCOD
2026-01-07 13:53:32.000,"-6.9054698,107.7065268",NONCOD
2026-01-07 13:49:03.000,"-6.9242229,107.7271667",NONCOD
2026-01-07 14:26:51.000,"-6.9099705,107.6835946",NONCOD
2026-01-07 15:03:36.000,"-6.9248103,107.6704902",NONCOD
2026-01-07 14:54:12.000,"-6.954496,107.7060139",NONCOD
2026-01-07 15:01:50.000,"-6.9589858,107.70907",NONCOD
2026-01-07 14:32:55.000,"-6.9143121,107.6843512",NONCOD
2026-01-07 14:32:55.000,"-6.9143121,107.6843512",NONCOD
2026-01-07 12:27:56.000,"-6.9382952,107.669715",NONCOD
2026-01-07 12:38:32.000,"-6.9433357,107.6509063",NONCOD
2026-01-07 12:38:32.000,"-6.9433357,107.6509063",NONCOD
2026-01-07 12:38:32.000,"-6.9433357,107.6509063",NONCOD
2026-01-07 14:08:32.000,"-6.921864,107.7096506",NONCOD
2026-01-07 14:12:21.000,"-6.9218465,107.7097187",NONCOD
2026-01-08 11:49:43.000,"-6.9367589,107.6775061",NONCOD
